PLAYER_ID,PLAYER_NAME,n_shots,actual_fg,mean_xfg,raw_delta,sigma2_within,weight,shrunk_delta,ci_lo,ci_hi
1642867,Collin Murray-Boyles,64,0.65625,0.6053758,0.050874173641204834,0.0031139804050326347,0.5440062898344177,0.02767587045094377,-0.054786134918686,0.1455535988672636
1629661,Cameron Johnson,62,0.5,0.44574896,0.0542510449886322,0.0036200573987692874,0.5064730613780279,0.02747669283834967,-0.06420313949065823,0.1608015250654951
203468,CJ McCollum,99,0.46464646464646464,0.42288417,0.0417622984057725,0.00235234274084307,0.6122955649856938,0.025570870097463616,-0.03982268911268976,0.13656421817011302
1631221,Collin Gillespie,36,0.4444444444444444,0.3751805,0.06926393177774215,0.00645957096123401,0.36512709588011294,0.02529013825924526,-0.09401421019186576,0.23237923027740584
1630703,Scoot Henderson,59,0.4745762711864407,0.42291492,0.05166134894904445,0.003913552553548925,0.4869874467613375,0.025158428420941664,-0.06786633168615526,0.17200984653022325
1630194,Paul Reed,12,0.6666666666666666,0.51883364,0.1478330294291178,0.01814135081238217,0.16997417035358747,0.025127796528071778,-0.07741962311168511,0.3574328224485119
1628415,Dillon Brooks,85,0.4588235294117647,0.41603222,0.04279130451819474,0.002793812735270464,0.5707658151950438,0.02442381380658678,-0.05543205720536849,0.150646677245112
1629675,Naz Reid,99,0.48484848484848486,0.44535035,0.03949813589905249,0.0023155263000307685,0.616033626030373,0.024332179879333754,-0.05146700015874824,0.13356398386184615
1628378,Donovan Mitchell,213,0.45539906103286387,0.42525932,0.03013973910483958,0.001071799352944742,0.7760935436047428,0.02339125692519739,-0.03136726051499026,0.09453427537296298
1628369,Jayson Tatum,101,0.4752475247524752,0.43891796,0.03632956005559107,0.0022247640914326147,0.6254468620449869,0.022722209336244335,-0.05269051323285197,0.12472945510013267
1628978,Donte DiVincenzo,32,0.5,0.43553516,0.06446483731269836,0.006869529373943806,0.35098507197289774,0.02262619556391858,-0.09255742896348237,0.22852018319536
202685,Jonas Valančiūnas,7,0.7142857142857143,0.50123847,0.21304724897657124,0.03140029372001181,0.10579482242666197,0.022539295873965193,-0.1482261163847787,0.5059630870819092
1630241,Sam Merrill,41,0.43902439024390244,0.3856116,0.05341279652060532,0.005547594981559468,0.401076685362567,0.021422627384429634,-0.09925077439444821,0.20115558788543794
1630570,Trendon Watford,11,0.6363636363636364,0.49075872,0.14560491930354724,0.021557849300794366,0.14699630698506905,0.021403385416480437,-0.14158496870235965,0.42292700538581063
1642859,Jase Richardson,2,1.0,0.34726113,0.6527388691902161,0.1131756603717804,0.03178198838024166,0.02074533915593553,0.6348640024662018,0.6706137657165527
1630598,Aaron Wiggins,8,0.625,0.44314924,0.18185076117515564,0.03015417978167534,0.10968722055633584,0.01994670454935685,-0.16522896196693182,0.44309204220771786
203954,Joel Embiid,124,0.4596774193548387,0.43129677,0.02838065355054792,0.0018766942307058409,0.6643793367276914,0.018855519781811426,-0.057637663083451404,0.11135636154682405
1630192,Zeke Nnaji,2,1.0,0.38350058,0.6164994239807129,0.11812670528888702,0.030490525591177233,0.01879739146382995,0.6032907366752625,0.6297080814838409
1642359,Pacôme Dadiet,11,0.5454545454545454,0.42396373,0.1214908198876814,0.02110711799180212,0.14966553083370057,0.018182988049911343,-0.14638183679093014,0.3868233877826818
1627759,Jaylen Brown,143,0.45454545454545453,0.4288914,0.025654063983397035,0.0015952420751181866,0.6995924877210402,0.017947390442299472,-0.056909606277525844,0.10161918832601366
1642853,Rasheer Fleming,5,0.6,0.35961607,0.2403839290142059,0.04605251312255859,0.07464742754818138,0.017944041924835112,-0.1592337191104889,0.6393444836139679
1642349,Ajay Mitchell,100,0.44,0.41069353,0.02930647373199463,0.002361821937561035,0.6113404518034539,0.01791623289208365,-0.05390482379496098,0.12101460927724837
1629013,Landry Shamet,31,0.45161290322580644,0.3988927,0.05272020255365678,0.007347650756200816,0.335815724628809,0.017704273023133838,-0.11091559904236947,0.23904167937655604
1627751,Jakob Poeltl,31,0.6451612903225806,0.5942155,0.050945778046884826,0.007152933483937528,0.3418324169971847,0.01741491844556875,-0.0905386694737019,0.20501289112913987
1626164,Devin Booker,63,0.4603174603174603,0.42666915,0.033648309726563685,0.003685726330123521,0.5019789804622317,0.01689074421081783,-0.0813763751574452,0.15244669548812365
1627936,Alex Caruso,43,0.4883720930232558,0.4486334,0.03973869043727252,0.005039814938204297,0.4243391203801679,0.01686268094521201,-0.09479726885640342,0.18393617405794382
1642844,Dylan Harper,81,0.5555555555555556,0.5281301,0.02742544147703385,0.0027161484683292194,0.5776585161625162,0.0158425398287253,-0.07454457611397461,0.1250978605430803
1630595,Cade Cunningham,216,0.4398148148148148,0.41963932,0.020175495633372564,0.0010724625306201406,0.7759860365582568,0.015655902892139195,-0.041304640984162685,0.0845890810764912
1628396,Tony Bradley,4,0.75,0.49909106,0.2509089410305023,0.05614931136369705,0.06205729213997598,0.015570729454061889,-0.18619880080223083,0.5823362618684769
1630178,Tyrese Maxey,211,0.4549763033175355,0.43552896,0.01944733951329053,0.001080235280142552,0.774728220858741,0.015066402741567467,-0.04726931768782896,0.08367864243262468
1629162,Jordan McLaughlin,2,1.0,0.58138186,0.4186181426048279,0.09986111521720886,0.03586751180614885,0.015014791172146765,0.20968091487884521,0.6275553405284882
204060,Joe Ingles,3,0.6666666666666666,0.34660697,0.3200596968332926,0.07548662688997057,0.04690582101031115,0.015012662852276874,-0.3490227162837982,0.6580186486244202
1629731,Dean Wade,50,0.46,0.4281572,0.0318427896499634,0.004415861511230469,0.45690236792076105,0.014549045992270979,-0.08385837104916571,0.1510145951509475
1630568,Luka Garza,20,0.5,0.44291252,0.057087481021881104,0.011115844249725343,0.2504923906753447,0.014299979598804366,-0.13459914200007916,0.24587427761405706
1630631,Jose Alvarado,33,0.48484848484848486,0.44418812,0.04066036686752783,0.006981230526478385,0.34731972741058403,0.014122147536844109,-0.14488561164700625,0.2238363334852637
1631248,Baylor Scheierman,26,0.4230769230769231,0.37576655,0.04731037754278916,0.008785151870998405,0.29719741173768793,0.014060521754049775,-0.12972232858435465,0.2315458593316949
1629622,Max Strus,76,0.4473684210526316,0.42244223,0.024926193450626577,0.0029075591517947717,0.5609625976825096,0.013982662228400241,-0.07284869628615286,0.13038545603814877
1630573,Sam Hauser,46,0.41304347826086957,0.38403726,0.02900622202002484,0.004983748740645122,0.4270741150237991,0.012387806599385943,-0.09892213779461125,0.16849640096821206
